Plot_ID,Soil_Moisture_W1,Soil_Moisture_W2,Soil_Moisture_W3,Soil_Moisture_W4,Rainfall_W1,Rainfall_W2,Rainfall_W3,Rainfall_W4,Temperature_W1,Temperature_W2,Temperature_W3,Temperature_W4,Yield_Tons_per_Hectare
P01,41.72841130430048,50.29423386586549,40.65475104364243,45.31533829221332,30.210880667212134,41.55890805524831,33.09951946355715,60.80319615433123,33.31845277852658,28.20053978389358,29.129245349151304,28.364914387332902,8.38
P02,66.32010350743026,76.05977239925076,68.67534564256985,70.66826467536826,26.40831688510466,24.32604914344307,21.85226499706753,31.550664574113664,26.118283716823075,25.608426556970727,24.332930711265757,23.36109672356396,8.4
P03,56.021224611309215,60.16970706455453,60.316185089822355,67.59734375930455,50.23381593872913,47.465190103354864,31.20127378577624,33.52606736367125,24.551516541204965,25.431885231952172,26.36549605560177,25.893071312439982,9.2
P04,62.957730290426156,,52.68495302177337,52.042017785711685,34.820270021207705,24.38642290754482,39.633796635996546,23.03875128043371,22.030060929557713,21.999240203680337,23.724006727020008,22.169300190125895,6.03
P05,35.923259494007795,39.29892574293564,38.184317059367416,41.62804529071811,50.69950669736618,37.746999290529175,35.643812651694674,42.78233201075905,22.271390719288878,24.659480795250396,24.99305929455476,24.62060829975663,5.91
P06,30.701226168668605,34.26418204042248,41.0100350975208,47.02549458486025,34.77080944356829,33.37053404381479,37.18532011936536,41.207214948753716,25.79216214150174,26.559255024008134,24.930685298716174,24.838592625816464,6.37
P07,36.18606904724392,35.38032251427005,44.504273992780625,28.535928313921836,20.000679483091375,27.582981560380237,30.694792163678212,39.332481629210314,23.534203315092697,22.2559269649208,23.91044564478923,25.26366611453567,5.58
P08,58.29282758114229,73.58722866332724,68.2699348951566,69.82021512365893,25.33266100110639,,19.82987455938196,25.91654694261951,21.80716761037676,24.559027073145412,23.192741340866032,24.26544975121523,7.76
P09,54.83891844475213,55.11547027417859,58.08235242334217,59.59401444097047,20.346566125048696,24.152477075763397,15.794582168782675,22.96045318885031,23.18052080196587,23.158049577381224,24.637955839235023,25.538278761866465,4.87
P10,48.274552492442936,67.39612139091184,60.700673533010985,66.48201747072837,45.578838055212266,30.197210819340068,41.13703826721879,38.084381200360774,25.632841707234377,27.945847048324953,26.55763063914616,26.432985953897884,9.07
P11,23.93244952733994,18.97465425138337,23.979523695336887,28.888626217441683,23.727628572372144,15.829660316381345,23.856509350727332,24.45629524941633,27.219001754753727,23.78844064649261,25.262688203307112,24.479178556241415,4.47
P12,69.5307002658254,74.15590660835589,71.4138247092337,105.0,17.244408448481263,15.771327647535063,7.410374241266576,19.816934057060138,27.51272440916191,23.75159380850235,29.18398986753629,24.908159547332448,6.42
P13,66.74003853199392,64.98294097320773,66.348856681722,70.15741346010137,35.178150183221796,28.187734823042334,24.372702997564595,44.19094753393277,27.51959373985045,25.252196024657287,28.750330022498083,26.908744873587157,7.1
P14,39.1004058330809,38.24852767480171,53.55977498955748,44.22848779329698,22.16507850408609,17.33007599366491,23.04769908793402,11.279769556374607,31.285475252110327,29.280872382990225,28.757120512629314,29.74177414792708,4.03
P15,36.44475727634283,38.98180257096154,39.06119386437842,42.77546294001341,44.98069266464994,55.72541606206364,36.391189643183814,34.903303112578755,23.462124889276556,23.717420760979962,25.035508749599412,24.413593321873382,7.39
P16,35.580661916190905,28.64833582113289,41.59391710580541,43.31842144162223,44.967774494548216,43.50698314725075,54.73514150363258,28.088972820961956,28.988895708321813,28.928650315035213,29.62338806795121,28.90366213633271,6.83
