Student_ID,Study_Hours,Attendance_Percent,Assignment_Average,Previous_Score,Final_Score
1,2.4,89.4,64.1,78.0,49.3
2,4.7,76.0,83.6,89.1,57.3
3,3.8,74.2,74.4,62.8,41.3
4,3.4,89.5,54.6,60.9,45.7
5,3.3,73.0,50.6,60.7,35.0
6,5.5,82.3,80.2,50.9,50.1
7,6.0,85.3,74.6,78.2,56.5
8,2.4,71.6,80.1,86.0,53.0
9,4.8,90.6,78.2,68.7,64.5
10,3.0,84.2,94.5,72.9,59.0
11,6.3,86.8,95.9,92.9,58.4
12,6.1,78.0,59.4,79.9,58.0
13,4.7,79.7,97.1,82.3,53.7
14,5.3,82.3,89.4,89.5,60.7
15,4.1,81.4,82.0,55.8,51.7
16,5.6,88.6,83.0,77.5,53.5
17,3.7,85.2,77.3,80.9,59.3
18,3.2,79.6,95.9,87.1,58.5
19,2.9,65.1,61.7,62.2,42.3
20,2.6,92.8,80.0,79.4,54.7
21,4.1,83.2,90.7,75.2,59.9
22,3.7,76.4,56.7,65.5,41.1
23,4.8,82.5,80.8,50.1,42.0
24,1.6,68.3,70.1,62.7,47.8
25,3.7,96.7,88.3,93.2,61.6
26,3.3,99.6,53.4,55.8,49.7
27,2.5,67.1,80.3,50.7,49.0
28,4.5,77.5,92.9,63.4,55.5
29,3.7,90.6,81.4,50.0,53.1
30,3.0,76.0,66.1,58.4,48.0
31,2.5,84.8,82.8,90.7,54.5
32,5.9,79.6,66.9,60.9,49.5
33,5.5,92.1,83.4,74.3,61.0
34,4.5,98.5,56.4,56.9,52.9
35,3.2,96.1,64.0,78.4,54.2
36,6.2,86.7,51.6,51.4,35.0
37,4.3,70.6,54.2,84.5,47.5
38,3.7,98.1,77.7,66.1,56.4
39,6.0,65.8,61.6,54.2,38.4
40,3.1,75.4,75.8,82.9,53.6
